Trait,N_BTB,N_Daughters,N_Total,Features,Best_Single,Best_R2_dev,Stack_R2_dev,PA_R2,Raw_R2_abs,Calibrated_R2_abs,c0,c1,c2,d0,d1,d2,var_expansion,R2_daughter,Winner,Time_s
TPI,94556,6622,101178,154,XGB,0.9166,0.9174,-0.6472,0.9403,0.9403,7.7026,0.9943,0.9993,219.0232,0.908,0.9373,1.0449,0.7783,STACK,45.3
MILK,94556,7580,102136,184,XGB,0.6844,0.6854,-0.001,0.7208,0.7209,-2.7895,0.9911,0.9972,-16.9198,1.0306,1.0187,1.3519,0.594,STACK,60.6
FAT,94556,7580,102136,172,LGBM,0.8357,0.836,0.1844,0.8854,0.8855,-0.2112,0.9855,0.9997,-1.188,1.0064,1.0169,1.1393,0.8383,STACK,54.4
FAT%,94556,7580,102136,148,XGB,0.565,0.5652,0.0877,0.6132,0.6133,0.0001,0.9875,0.9996,-0.0037,1.0025,1.0276,1.6776,0.5151,STACK,44.5
PRO,94556,7580,102136,166,XGB,0.8315,0.8317,0.0883,0.8702,0.8702,-0.0774,0.9926,0.9986,-0.999,1.0335,0.9978,1.1472,0.8065,STACK,51.5
PRO%,94556,7580,102136,148,XGB,0.5499,0.5504,-0.0004,0.5587,0.5587,0.0001,0.9879,1.001,-0.0008,1.0018,0.9889,1.9738,0.4116,STACK,46.2
CFP,94556,3424,97980,155,LGBM,0.8591,0.8596,0.1353,0.8985,0.8986,-0.4289,0.9846,0.9987,-1.8277,0.9939,1.0388,1.1238,0.7864,STACK,43.6
PL,94556,7580,102136,196,XGB,0.7565,0.7567,0.0736,0.8075,0.8075,-0.012,0.987,0.9977,-0.0948,1.032,1.0205,1.2252,0.6872,STACK,61.9
LIV,94556,7580,102136,154,LGBM,0.549,0.5499,0.1045,0.6048,0.6048,-0.0046,0.9894,0.9968,-0.0345,1.0166,0.9717,1.7965,0.4528,STACK,47.8
SCS,94556,7580,102136,166,LGBM,0.7155,0.7161,-17.2953,0.5593,0.558,-0.0079,1.0,1.0021,0.047,0.9838,0.9791,1.0276,0.4913,STACK,49.8
MAST,94556,7580,102136,172,LGBM,0.5074,0.5082,0.0231,0.5621,0.5622,-0.0027,0.9841,0.9945,-0.0265,1.0301,0.9788,2.0772,0.3417,STACK,52.5
MET,94556,1474,96030,167,LGBM,0.5907,0.5914,0.0997,0.6488,0.6488,-0.0171,1.0,1.0,0.7247,0.3,-0.0021,1.4389,-0.1004,STACK,41.4
RP,94556,1474,96030,161,XGB,0.582,0.5824,0.0891,0.6364,0.6364,-0.0333,1.0,1.0004,0.0218,0.3,-0.0014,1.4297,0.0023,STACK,39.2
DA,94556,1474,96030,167,LGBM,0.5863,0.5872,0.0928,0.6422,0.6422,-0.0753,1.0,1.0012,-0.222,0.3,0.0022,1.4234,-0.0245,STACK,39.1
KET,94556,1474,96030,161,LGBM,0.5823,0.5825,0.0929,0.638,0.638,-0.109,1.0,1.0012,-0.3869,0.3,0.0088,1.4138,-0.0165,STACK,38.6
MF,94556,1474,96030,155,XGB,0.5923,0.5927,0.115,0.6587,0.6587,0.0112,1.0,0.999,-0.0707,0.3,0.0002,1.4278,-0.0626,STACK,37.3
DPR,94556,7580,102136,184,LGBM,0.6229,0.6235,-0.042,0.6236,0.6237,0.0036,0.9863,0.9932,0.0261,1.0297,0.9925,1.6844,0.3651,STACK,57.4
HCR,94556,3424,97980,166,XGB,0.5322,0.5332,0.0866,0.582,0.582,-0.0022,0.9906,0.9971,-0.0523,1.0811,1.0155,1.6548,0.2472,STACK,48.7
CCR,94556,7580,102136,172,LGBM,0.6235,0.6238,-0.0498,0.6138,0.6138,0.0018,0.995,0.9972,-0.0095,1.0293,0.9734,1.7882,0.3626,STACK,51.6
SCE,94556,3424,97980,154,LGBM,0.7011,0.7012,-0.0773,0.7416,0.7416,0.0109,0.9908,0.997,0.0239,0.9656,0.9938,1.2186,0.4254,STACK,43.4
DCE,94556,3424,97980,161,LGBM,0.7784,0.7785,-0.0351,0.8002,0.8003,0.015,0.9912,0.9978,0.2771,0.8248,0.8714,1.1912,0.167,STACK,46.5
SSB,94556,3424,97980,161,XGB,0.853,0.8536,-0.2966,0.8801,0.8801,0.0049,0.9983,0.9998,0.6996,0.7983,0.8308,1.0759,0.398,STACK,44.7
DSB,94556,3424,97980,161,LGBM,0.8429,0.843,-0.1003,0.8578,0.8579,0.0424,0.989,0.9981,0.8345,0.7805,0.8197,1.1222,0.2647,STACK,45.0
GFI,94556,1950,96506,155,XGB,0.7384,0.7394,-0.5691,0.776,0.776,0.0673,0.9889,0.9978,1.1939,1.0652,0.7466,1.8073,-26.3394,STACK,45.0
PTAT,94556,6622,101178,166,LGBM,0.6777,0.6786,0.0937,0.727,0.727,-0.0038,0.9887,0.9965,-0.0303,1.038,0.9957,1.4567,0.6599,STACK,50.3
UDC,94556,6622,101178,178,LGBM,0.8424,0.8438,0.2186,0.882,0.882,-0.0004,0.9963,0.9999,0.0288,0.7247,0.6347,1.5437,0.2587,STACK,51.2
FLC,94556,6622,101178,178,XGB,0.5372,0.538,-0.1225,0.494,0.494,-0.0006,0.9952,0.996,-0.0209,0.9986,1.0154,1.8007,0.5652,STACK,54.7
STA,94556,4672,99228,173,LGBM,0.5218,0.5217,0.003,0.5284,0.5286,-0.0082,0.9888,1.0089,-0.022,0.955,0.9522,1.5751,0.4675,LGBM,42.8
STR,94556,4672,99228,161,LGBM,0.4677,0.4683,-0.0056,0.4673,0.4674,-0.0006,0.9954,0.998,0.0081,0.9559,1.0008,1.3379,0.5191,STACK,47.0
DFM,94556,1474,96030,155,XGB,0.4995,0.5002,0.0389,0.5282,0.5282,-0.002,0.9889,0.9965,-0.029,0.9821,0.9851,1.4288,0.3173,STACK,43.5
BOD,94556,1474,96030,161,XGB,0.4704,0.4712,0.0174,0.4847,0.4848,-0.0001,0.9877,0.9961,-0.03,0.9706,0.9699,1.1998,0.6228,STACK,46.0
RUA,94556,1474,96030,155,LGBM,0.4266,0.4277,-0.0674,0.3926,0.3926,0.0006,0.9943,0.9979,0.0015,0.7153,0.7988,1.4659,0.1029,STACK,43.2
RW,94556,1474,96030,155,LGBM,0.5025,0.5036,0.0588,0.5441,0.5441,-0.0015,0.9911,0.9975,-0.0593,0.9405,1.013,1.3061,0.5511,STACK,43.4
RLS,94556,1474,96030,161,XGB,0.4648,0.4655,-0.0011,0.4658,0.4658,0.0003,1.0,0.9995,0.0319,0.9664,0.9091,1.5301,0.2926,STACK,44.8
RLR,94556,1474,96030,161,LGBM,0.5609,0.5615,-0.0769,0.5345,0.5345,0.001,1.0,1.0006,-0.144,1.0135,1.0509,1.3426,0.5642,STACK,44.4
FTA,94556,1474,96030,161,XGB,0.5608,0.5614,-0.0486,0.5461,0.5462,-0.001,0.9922,0.9954,-0.071,0.9344,0.9259,1.1632,0.7101,STACK,45.8
FLS,94556,1474,96030,161,LGBM,0.5739,0.5745,-0.1346,0.5304,0.5305,-0.0014,0.9898,0.9932,-0.1107,1.003,1.0284,1.3764,0.5407,STACK,45.2
FTL,94556,0,94556,155,LGBM,0.4468,0.4474,0.0211,0.4721,0.4723,0.0037,0.9758,0.9928,0.0037,0.9758,0.9928,1.0,-999.0,STACK,42.0
FUA,94556,1474,96030,161,LGBM,0.6878,0.6883,0.0014,0.7098,0.7098,-0.0024,0.9959,0.9981,-0.116,0.901,0.9367,1.2599,0.4853,STACK,45.8
RUH,94556,1474,96030,161,LGBM,0.7038,0.7039,0.0721,0.7411,0.7412,-0.0057,0.9907,0.9971,-0.0697,0.8594,0.9127,1.2489,0.4524,STACK,48.0
RUW,94556,1474,96030,155,XGB,0.6829,0.6833,0.074,0.7217,0.7219,-0.0106,0.9806,0.994,-0.0834,0.8593,0.9084,1.2325,0.4659,STACK,44.7
UCL,94556,4672,99228,161,LGBM,0.5419,0.5425,-0.0247,0.5425,0.5425,-0.0016,0.9932,0.9963,-0.0328,0.9854,0.9926,1.5881,0.4619,STACK,46.3
UDP,94556,4672,99228,161,LGBM,0.5897,0.59,-0.0567,0.5863,0.5864,-0.0048,0.989,0.9952,-0.0482,1.0171,0.9117,1.7694,0.3071,STACK,46.2
FTP,94556,1474,96030,155,XGB,0.5347,0.5356,-0.1547,0.4934,0.4935,-0.0031,0.9874,0.9928,0.0035,0.9186,0.9258,1.347,0.3665,STACK,45.2
RTP,94556,1474,96030,155,XGB,0.4995,0.5003,-0.1045,0.4675,0.4675,-0.0018,0.9911,0.9945,0.0116,0.9302,0.9225,1.4489,0.3248,STACK,45.7
BWC,94556,0,94556,155,LGBM,0.529,0.5298,-0.1734,0.4533,0.4535,0.0079,0.9734,0.9872,0.0079,0.9734,0.9872,1.0,-999.0,STACK,39.9
NM$,94556,3424,97980,172,LGBM,0.8871,0.8875,0.1506,0.9203,0.9204,-3.3157,0.9841,0.9994,-10.2781,1.0146,0.9995,1.0797,0.8587,STACK,57.7
CM$,94556,3424,97980,161,LGBM,0.8897,0.8899,0.1512,0.9221,0.9222,-2.9024,0.9867,0.9998,-11.1734,1.0156,1.0004,1.0804,0.8573,STACK,51.6
