Rank;Tipo;Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Femea_Num;Produto_Num;Pai_da_Femea;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;HHP$;NM$_IC_Lower;NM$_IC_Upper;Delta_NM$_sobre_Mae;TPI_PA;TPI_Corrigido;TPI_IC_Lower;TPI_IC_Upper;Delta_TPI_sobre_Mae;DSII;Score_Final_v3;F_Esperada_%;Depressão_$;Penalidade_Crítica;Penalidade_Antagonismo;Bônus_Dominância;Distância_Ideal;P_Acima_Média_%;P_Top25_%;P_Top10_%;PA_MILK;DeltaG_MILK;PA_FAT;DeltaG_FAT;PA_PROT;DeltaG_PROT;PA_SCS;DeltaG_SCS;PA_DPR;DeltaG_DPR;PA_CCR;DeltaG_CCR;PA_PL;DeltaG_PL;PA_LIV;DeltaG_LIV;PA_HCR;DeltaG_HCR;PA_EFC;DeltaG_EFC;PA_UDC;DeltaG_UDC;PA_FLC;DeltaG_FLC;PA_BWC;DeltaG_BWC;PA_TIPO;DeltaG_TIPO;PA_MF;DeltaG_MF;PA_DA;DeltaG_DA;PA_KET;DeltaG_KET;PA_MAST;DeltaG_MAST;PA_MET;DeltaG_MET;PA_RP;DeltaG_RP;PA_SCE;DeltaG_SCE;PA_STA;DeltaG_STA;PA_STR;DeltaG_STR;PA_BD;DeltaG_BD;PA_DF;DeltaG_DF;PA_RA;DeltaG_RA;PA_TW;DeltaG_TW;PA_RLS;DeltaG_RLS;PA_RLR;DeltaG_RLR;PA_FA;DeltaG_FA;PA_FLS;DeltaG_FLS;PA_FUA;DeltaG_FUA;PA_RUH;DeltaG_RUH;PA_RUW;DeltaG_RUW;PA_UC;DeltaG_UC;PA_UD;DeltaG_UD;PA_FTP;DeltaG_FTP;PA_RTP;DeltaG_RTP;PA_TL;DeltaG_TL
1;Embrião;551HO06183;Expresso;3157;477;1449;1008;HO840003147118759;2873;482;480;323;387;-118;764;-159;3015;2890;2489;3291;17;227.8;60.3;6.25;-156;0.0;2.7;0.34;5.64;90.3;67.7;38.3;1303.88;-48.12;31.75;-22.25;39.88;4.88;2.96;0.03;-1.09;0.71;0.59;0.69;0.36;-1.24;-0.89;-1.29;1.38;-1.12;0.00;68.00;0.86;0.98;0.15;0.12;0.00;0.00;0.75;1.12;-0.10;0.00;0.20;0.10;0.60;0.20;-0.10;1.70;0.75;-0.45;0.05;-0.15;1.30;0.10;0.51;0.87;0.09;0.40;0.28;0.73;0.72;0.96;1.09;0.04;1.03;0.48;0.10;-0.29;0.11;0.21;0.28;0.69;0.29;0.29;0.81;1.30;1.28;1.41;1.38;1.17;0.62;0.70;0.49;0.86;0.43;0.57;0.71;0.75;-0.48;-0.08
2;Embrião;551HO06183;Expresso;3157;477;1405;966;HO840003147118754;2764;390;434;277;329;-164;718;-113;2960;2836;2435;3236;72;218.5;56.1;6.25;-156;0.0;0.0;0.34;6.19;86.3;60.1;30.7;1097.38;158.38;17.25;-7.75;36.38;8.38;2.96;0.04;-0.74;0.36;0.79;0.49;0.41;-1.29;-1.39;-0.79;-0.53;0.78;0.00;68.00;1.25;0.61;0.13;0.14;0.00;0.00;0.76;1.12;-0.10;0.00;0.10;0.20;0.20;0.60;0.35;1.25;-0.20;0.50;-0.70;0.60;1.30;0.10;-0.12;1.50;-0.52;1.00;-0.29;1.29;0.67;1.01;0.33;0.81;0.39;1.12;-0.01;-0.17;-0.07;0.40;0.21;0.76;0.14;0.44;0.95;1.16;1.94;0.76;1.54;1.01;0.66;0.67;0.38;0.97;0.47;0.53;0.90;0.56;-0.07;-0.49
3;Embrião;551HO06183;Expresso;3157;477;1405;930;HO840003147118754;2764;390;434;277;329;-164;718;-113;2960;2836;2435;3236;72;218.5;56.1;6.25;-156;0.0;0.0;0.34;6.19;86.3;60.1;30.7;1097.38;158.38;17.25;-7.75;36.38;8.38;2.96;0.04;-0.74;0.36;0.79;0.49;0.41;-1.29;-1.39;-0.79;-0.53;0.78;0.00;68.00;1.25;0.61;0.13;0.14;0.00;0.00;0.76;1.12;-0.10;0.00;0.10;0.20;0.20;0.60;0.35;1.25;-0.20;0.50;-0.70;0.60;1.30;0.10;-0.12;1.50;-0.52;1.00;-0.29;1.29;0.67;1.01;0.33;0.81;0.39;1.12;-0.01;-0.17;-0.07;0.40;0.21;0.76;0.14;0.44;0.95;1.16;1.94;0.76;1.54;1.01;0.66;0.67;0.38;0.97;0.47;0.53;0.90;0.56;-0.07;-0.49
4;Embrião;551HO06183;Expresso;3157;477;1388;1273;HO840003147118754;2850;493;485;329;412;-112;770;-164;3004;2878;2478;3279;28;90.8;55.0;6.25;-156;0.0;0.0;0.34;5.11;90.7;68.6;39.2;1309.38;-53.62;19.75;-10.25;32.88;11.88;2.91;0.08;0.26;-0.64;1.99;-0.71;1.16;-2.04;-0.49;-1.69;0.93;-0.68;0.00;68.00;0.98;0.88;0.08;0.20;0.00;0.00;0.82;1.05;-0.15;0.05;-0.05;0.35;0.20;0.60;1.95;-0.35;0.50;-0.20;-0.30;0.20;1.30;0.10;0.16;1.21;-0.44;0.93;-0.06;1.07;0.82;0.87;0.40;0.73;0.62;0.89;-0.04;-0.15;-0.15;0.47;0.17;0.80;0.17;0.41;0.85;1.26;1.44;1.25;1.26;1.28;0.71;0.62;0.45;0.90;0.39;0.61;0.72;0.73;-0.46;-0.11
5;Embrião;007HO17379;Drop N Hot;3177;426;1468;1049;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
6;Embrião;007HO17379;Drop N Hot;3177;426;1468;1114;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
7;Embrião;007HO17379;Drop N Hot;3177;426;1468;831;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
8;Embrião;007HO17379;Drop N Hot;3177;426;1468;1234;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
9;Embrião;007HO17379;Drop N Hot;3177;426;1468;1126;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
10;Embrião;007HO17379;Drop N Hot;3177;426;1468;953;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
11;Embrião;551HO06183;Expresso;3157;477;1539;1065;HO840003213270759;2702;308;392;236;287;-205;677;-72;2930;2804;2404;3205;102;229.7;46.7;6.25;-156;0.0;0.0;0.34;6.64;82.0;52.9;24.6;1003.88;251.88;17.75;-8.25;34.88;9.88;3.09;-0.09;-0.34;-0.04;0.99;0.29;0.06;-0.94;-1.39;-0.79;0.33;-0.08;0.00;68.00;0.93;0.93;-0.13;0.40;0.00;0.00;0.89;0.99;-0.10;0.00;-0.25;0.55;-0.05;0.85;0.25;1.35;0.50;-0.20;0.25;-0.35;1.35;0.05;0.56;0.81;-0.18;0.67;0.26;0.76;1.17;0.53;0.02;1.11;0.89;0.62;0.52;-0.70;-0.38;0.70;-0.01;0.98;0.13;0.44;0.66;1.44;1.46;1.24;1.49;1.06;0.92;0.42;0.40;0.96;0.43;0.57;0.82;0.64;-0.34;-0.23
12;Embrião;551HO06183;Expresso;3157;477;1473;1095;HO840003147118759;2702;334;406;249;321;-192;690;-85;2930;2804;2404;3205;102;161.9;46.0;6.25;-156;0.0;0.0;0.34;5.84;83.4;55.2;26.5;1059.38;196.38;18.75;-9.25;29.38;15.38;2.93;0.06;-0.44;0.06;0.84;0.44;0.51;-1.39;-0.94;-1.24;0.88;-0.62;0.00;68.00;0.98;0.87;-0.10;0.38;0.00;0.00;0.84;1.04;-0.10;0.00;0.10;0.20;0.10;0.70;1.40;0.20;-0.45;0.75;-0.30;0.20;1.35;0.05;0.63;0.75;-0.15;0.64;0.28;0.73;1.06;0.62;0.36;0.77;0.93;0.58;0.60;-0.79;-0.25;0.57;0.05;0.92;0.14;0.43;1.00;1.11;1.43;1.27;1.26;1.28;0.97;0.37;0.65;0.70;0.53;0.48;0.85;0.61;-0.27;-0.29
13;Embrião;007HO17379;Drop N Hot;3177;426;1447;944;HO840003147118754;2704;413;420;263;350;-178;704;-150;2940;2816;2415;3216;112;211.2;45.4;6.25;-156;0.0;1.7;0.34;6.25;84.9;57.6;28.6;990.88;-492.12;31.75;-5.25;26.88;3.88;2.88;-0.02;-0.94;0.56;-0.01;0.69;0.26;-1.84;-1.99;-2.39;-0.38;0.53;0.00;68.00;0.81;0.98;0.68;1.18;0.00;0.00;1.12;1.48;-0.15;0.05;0.15;0.25;-0.50;0.60;2.00;1.40;-0.15;-0.25;-0.25;-0.25;1.60;0.30;0.31;1.34;-0.22;1.11;0.08;0.85;0.98;0.21;-0.12;-0.62;0.69;1.11;0.75;-0.04;0.58;1.69;0.33;1.32;0.77;1.28;0.77;1.67;1.19;1.35;1.06;1.35;0.83;0.20;0.20;1.33;0.49;0.09;0.95;-0.02;0.35;-0.11
14;Embrião;007HO17379;Drop N Hot;3177;426;1435;1250;HO840003147118759;2877;450;438;282;403;-159;723;-168;3027;2902;2501;3303;25;134.4;43.2;6.25;-156;0.0;0.0;0.34;6.23;86.8;60.8;31.4;1125.38;-626.62;30.75;-4.25;34.38;-3.62;2.89;-0.04;-0.69;0.31;0.79;-0.11;0.26;-1.84;-2.89;-1.49;1.32;-1.18;0.00;68.00;0.90;0.89;0.96;0.90;0.00;0.00;1.24;1.37;-0.10;0.00;0.20;0.20;0.25;-0.15;1.80;1.60;0.20;-0.60;-0.30;-0.20;1.50;0.40;0.54;1.11;0.17;0.72;0.41;0.52;1.08;0.11;-0.79;0.04;0.98;0.82;0.73;-0.03;1.02;1.24;0.52;1.14;1.04;1.00;0.89;1.54;1.28;1.25;1.51;0.91;0.86;0.17;0.21;1.31;0.32;0.26;0.73;0.19;0.03;0.22
15;Embrião;007HO17379;Drop N Hot;3177;426;1435;1089;HO840003147118759;2877;450;438;282;403;-159;723;-168;3027;2902;2501;3303;25;134.4;43.2;6.25;-156;0.0;0.0;0.34;6.23;86.8;60.8;31.4;1125.38;-626.62;30.75;-4.25;34.38;-3.62;2.89;-0.04;-0.69;0.31;0.79;-0.11;0.26;-1.84;-2.89;-1.49;1.32;-1.18;0.00;68.00;0.90;0.89;0.96;0.90;0.00;0.00;1.24;1.37;-0.10;0.00;0.20;0.20;0.25;-0.15;1.80;1.60;0.20;-0.60;-0.30;-0.20;1.50;0.40;0.54;1.11;0.17;0.72;0.41;0.52;1.08;0.11;-0.79;0.04;0.98;0.82;0.73;-0.03;1.02;1.24;0.52;1.14;1.04;1.00;0.89;1.54;1.28;1.25;1.51;0.91;0.86;0.17;0.21;1.31;0.32;0.26;0.73;0.19;0.03;0.22
16;Embrião;007HO17379;Drop N Hot;3177;426;1435;829;HO840003147118759;2877;450;438;282;403;-159;723;-168;3027;2902;2501;3303;25;134.4;43.2;6.25;-156;0.0;0.0;0.34;6.23;86.8;60.8;31.4;1125.38;-626.62;30.75;-4.25;34.38;-3.62;2.89;-0.04;-0.69;0.31;0.79;-0.11;0.26;-1.84;-2.89;-1.49;1.32;-1.18;0.00;68.00;0.90;0.89;0.96;0.90;0.00;0.00;1.24;1.37;-0.10;0.00;0.20;0.20;0.25;-0.15;1.80;1.60;0.20;-0.60;-0.30;-0.20;1.50;0.40;0.54;1.11;0.17;0.72;0.41;0.52;1.08;0.11;-0.79;0.04;0.98;0.82;0.73;-0.03;1.02;1.24;0.52;1.14;1.04;1.00;0.89;1.54;1.28;1.25;1.51;0.91;0.86;0.17;0.21;1.31;0.32;0.26;0.73;0.19;0.03;0.22
17;Embrião;007HO17379;Drop N Hot;3177;426;1435;920;HO840003147118759;2877;450;438;282;403;-159;723;-168;3027;2902;2501;3303;25;134.4;43.2;6.25;-156;0.0;0.0;0.34;6.23;86.8;60.8;31.4;1125.38;-626.62;30.75;-4.25;34.38;-3.62;2.89;-0.04;-0.69;0.31;0.79;-0.11;0.26;-1.84;-2.89;-1.49;1.32;-1.18;0.00;68.00;0.90;0.89;0.96;0.90;0.00;0.00;1.24;1.37;-0.10;0.00;0.20;0.20;0.25;-0.15;1.80;1.60;0.20;-0.60;-0.30;-0.20;1.50;0.40;0.54;1.11;0.17;0.72;0.41;0.52;1.08;0.11;-0.79;0.04;0.98;0.82;0.73;-0.03;1.02;1.24;0.52;1.14;1.04;1.00;0.89;1.54;1.28;1.25;1.51;0.91;0.86;0.17;0.21;1.31;0.32;0.26;0.73;0.19;0.03;0.22
18;Embrião;551HO06183;Expresso;3157;477;1412;1180;HO840003147118759;2630;225;351;195;250;-246;636;-30;2894;2768;2368;3169;138;225.1;42.3;6.25;-156;0.0;0.0;0.34;6.31;76.7;45.6;19.2;1105.88;149.88;10.25;-0.75;32.38;12.38;3.04;-0.05;0.11;-0.49;1.64;-0.36;0.31;-1.19;-1.19;-0.99;0.72;-0.47;0.00;68.00;0.82;1.04;-0.07;0.34;0.00;0.00;0.65;1.23;-0.10;0.00;0.05;0.25;0.40;0.40;-0.25;1.85;0.20;0.10;0.15;-0.25;1.50;-0.10;0.30;1.07;-0.13;0.62;0.13;0.88;0.59;1.09;0.73;0.41;0.31;1.20;0.19;-0.38;-0.21;0.54;0.02;0.95;0.07;0.51;0.70;1.40;1.23;1.46;1.11;1.44;0.81;0.53;0.29;1.06;0.59;0.41;0.98;0.48;-0.53;-0.04
19;Embrião;007HO17379;Drop N Hot;3177;426;1442;1039;HO840003147118759;2696;346;386;230;341;-211;671;-116;2936;2812;2411;3212;116;155.8;39.2;6.25;-156;0.0;0.0;0.34;6.11;81.2;51.8;23.7;1073.38;-574.62;17.75;8.75;27.38;3.38;2.92;-0.07;0.01;-0.39;1.19;-0.51;0.46;-2.04;-2.29;-2.09;1.07;-0.93;0.00;68.00;0.83;0.96;0.82;1.04;0.00;0.00;0.88;1.72;-0.15;0.05;0.30;0.10;0.25;-0.15;2.20;1.20;-0.10;-0.30;-0.15;-0.35;1.70;0.20;0.40;1.26;-0.36;1.25;-0.30;1.24;0.42;0.76;0.01;-0.76;0.50;1.30;0.59;0.12;0.83;1.44;0.41;1.24;0.88;1.17;0.91;1.52;1.36;1.18;1.04;1.37;0.33;0.71;0.71;0.83;-0.06;0.65;0.16;0.76;-0.35;0.60
20;Embrião;007HO17379;Drop N Hot;3177;426;1458;1274;HO840003147118759;2687;312;369;213;330;-228;654;-99;2932;2807;2406;3208;120;159.7;36.3;6.25;-156;0.0;0.0;0.34;6.18;79.1;48.7;21.5;1001.88;-503.12;22.75;3.75;24.38;6.38;2.91;-0.05;0.01;-0.39;1.49;-0.81;0.36;-1.94;-2.49;-1.89;1.27;-1.12;0.00;68.00;0.75;1.04;0.83;1.03;0.00;0.00;0.93;1.67;-0.10;0.00;0.00;0.40;0.05;0.05;1.65;1.75;-0.15;-0.25;-0.10;-0.40;1.60;0.30;0.59;1.06;-0.02;0.92;0.04;0.89;0.56;0.62;-0.41;-0.34;0.91;0.89;0.65;0.07;0.94;1.33;0.53;1.12;0.92;1.13;0.93;1.50;1.04;1.49;0.97;1.45;0.47;0.57;0.79;0.74;0.30;0.29;0.43;0.49;-0.33;0.57
21;Embrião;551HO06183;Expresso;3157;477;1440;892;HO840003147118759;2606;195;336;180;248;-261;621;-15;2882;2756;2356;3157;150;161.6;34.3;6.25;-156;0.0;0.0;0.34;5.86;74.6;42.9;17.4;1242.88;12.88;5.75;3.75;27.38;17.38;2.98;0.02;-0.14;-0.24;1.69;-0.41;0.81;-1.69;-0.89;-1.29;1.88;-1.62;0.00;68.00;1.00;0.85;0.10;0.17;0.00;0.00;0.77;1.10;-0.10;0.00;0.20;0.10;0.35;0.45;0.35;1.25;0.15;0.15;0.05;-0.15;1.45;-0.05;0.40;0.97;-0.24;0.73;-0.02;1.02;0.53;1.15;0.28;0.85;0.43;1.07;0.06;-0.25;0.02;0.30;0.21;0.76;0.22;0.35;1.15;0.97;1.24;1.45;0.95;1.59;0.78;0.55;1.06;0.28;0.39;0.61;0.62;0.83;-0.30;-0.27
22;Embrião;551HO06183;Expresso;3157;477;1440;946;HO840003147118759;2606;195;336;180;248;-261;621;-15;2882;2756;2356;3157;150;161.6;34.3;6.25;-156;0.0;0.0;0.34;5.86;74.6;42.9;17.4;1242.88;12.88;5.75;3.75;27.38;17.38;2.98;0.02;-0.14;-0.24;1.69;-0.41;0.81;-1.69;-0.89;-1.29;1.88;-1.62;0.00;68.00;1.00;0.85;0.10;0.17;0.00;0.00;0.77;1.10;-0.10;0.00;0.20;0.10;0.35;0.45;0.35;1.25;0.15;0.15;0.05;-0.15;1.45;-0.05;0.40;0.97;-0.24;0.73;-0.02;1.02;0.53;1.15;0.28;0.85;0.43;1.07;0.06;-0.25;0.02;0.30;0.21;0.76;0.22;0.35;1.15;0.97;1.24;1.45;0.95;1.59;0.78;0.55;1.06;0.28;0.39;0.61;0.62;0.83;-0.30;-0.27
23;Embrião;551HO06183;Expresso;3157;477;1440;925;HO840003147118759;2606;195;336;180;248;-261;621;-15;2882;2756;2356;3157;150;161.6;34.3;6.25;-156;0.0;0.0;0.34;5.86;74.6;42.9;17.4;1242.88;12.88;5.75;3.75;27.38;17.38;2.98;0.02;-0.14;-0.24;1.69;-0.41;0.81;-1.69;-0.89;-1.29;1.88;-1.62;0.00;68.00;1.00;0.85;0.10;0.17;0.00;0.00;0.77;1.10;-0.10;0.00;0.20;0.10;0.35;0.45;0.35;1.25;0.15;0.15;0.05;-0.15;1.45;-0.05;0.40;0.97;-0.24;0.73;-0.02;1.02;0.53;1.15;0.28;0.85;0.43;1.07;0.06;-0.25;0.02;0.30;0.21;0.76;0.22;0.35;1.15;0.97;1.24;1.45;0.95;1.59;0.78;0.55;1.06;0.28;0.39;0.61;0.62;0.83;-0.30;-0.27
24;Embrião;551HO06183;Expresso;3157;477;1440;581;HO840003147118759;2606;195;336;180;248;-261;621;-15;2882;2756;2356;3157;150;161.6;34.3;6.25;-156;0.0;0.0;0.34;5.86;74.6;42.9;17.4;1242.88;12.88;5.75;3.75;27.38;17.38;2.98;0.02;-0.14;-0.24;1.69;-0.41;0.81;-1.69;-0.89;-1.29;1.88;-1.62;0.00;68.00;1.00;0.85;0.10;0.17;0.00;0.00;0.77;1.10;-0.10;0.00;0.20;0.10;0.35;0.45;0.35;1.25;0.15;0.15;0.05;-0.15;1.45;-0.05;0.40;0.97;-0.24;0.73;-0.02;1.02;0.53;1.15;0.28;0.85;0.43;1.07;0.06;-0.25;0.02;0.30;0.21;0.76;0.22;0.35;1.15;0.97;1.24;1.45;0.95;1.59;0.78;0.55;1.06;0.28;0.39;0.61;0.62;0.83;-0.30;-0.27
25;Embrião;551HO06183;Expresso;3157;477;1440;649;HO840003147118759;2606;195;336;180;248;-261;621;-15;2882;2756;2356;3157;150;161.6;34.3;6.25;-156;0.0;0.0;0.34;5.86;74.6;42.9;17.4;1242.88;12.88;5.75;3.75;27.38;17.38;2.98;0.02;-0.14;-0.24;1.69;-0.41;0.81;-1.69;-0.89;-1.29;1.88;-1.62;0.00;68.00;1.00;0.85;0.10;0.17;0.00;0.00;0.77;1.10;-0.10;0.00;0.20;0.10;0.35;0.45;0.35;1.25;0.15;0.15;0.05;-0.15;1.45;-0.05;0.40;0.97;-0.24;0.73;-0.02;1.02;0.53;1.15;0.28;0.85;0.43;1.07;0.06;-0.25;0.02;0.30;0.21;0.76;0.22;0.35;1.15;0.97;1.24;1.45;0.95;1.59;0.78;0.55;1.06;0.28;0.39;0.61;0.62;0.83;-0.30;-0.27
26;Embrião;551HO06183;Expresso;3157;477;1460;894;HO840003147118759;2589;191;334;178;272;-263;619;-13;2873;2748;2347;3149;159;146.0;30.8;6.25;-156;0.0;0.0;0.34;5.94;74.3;42.6;17.2;1224.38;31.38;11.25;-1.75;25.38;19.38;2.96;0.03;0.21;-0.59;1.84;-0.56;0.41;-1.29;-1.19;-0.99;0.93;-0.68;0.00;68.00;0.77;1.08;0.25;0.02;0.00;0.00;0.54;1.34;-0.05;-0.05;0.00;0.30;0.25;0.55;1.35;0.25;0.15;0.15;-0.35;0.25;1.40;0.00;0.42;0.96;-0.31;0.80;-0.02;1.02;0.67;1.02;0.90;0.24;0.47;1.04;-0.01;-0.17;0.13;0.19;0.33;0.64;0.38;0.20;0.73;1.38;1.10;1.58;0.96;1.59;0.81;0.52;0.48;0.88;0.55;0.45;0.90;0.56;-0.54;-0.03
27;Embrião;551HO06183;Expresso;3157;477;1460;624;HO840003147118759;2589;191;334;178;272;-263;619;-13;2873;2748;2347;3149;159;146.0;30.8;6.25;-156;0.0;0.0;0.34;5.94;74.3;42.6;17.2;1224.38;31.38;11.25;-1.75;25.38;19.38;2.96;0.03;0.21;-0.59;1.84;-0.56;0.41;-1.29;-1.19;-0.99;0.93;-0.68;0.00;68.00;0.77;1.08;0.25;0.02;0.00;0.00;0.54;1.34;-0.05;-0.05;0.00;0.30;0.25;0.55;1.35;0.25;0.15;0.15;-0.35;0.25;1.40;0.00;0.42;0.96;-0.31;0.80;-0.02;1.02;0.67;1.02;0.90;0.24;0.47;1.04;-0.01;-0.17;0.13;0.19;0.33;0.64;0.38;0.20;0.73;1.38;1.10;1.58;0.96;1.59;0.81;0.52;0.48;0.88;0.55;0.45;0.90;0.56;-0.54;-0.03
