Rank;Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;TPI_PA;F_Esperada_%;Depressao_$;P_Acima_Media_%;P_Top25_%;P_Top10_%;Complementaridade;Balanceamento;Score_Final;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina;Casein_Score;PA_MILK;IC_Low_MILK;IC_High_MILK;PA_FAT;IC_Low_FAT;IC_High_FAT;PA_PROT;IC_Low_PROT;IC_High_PROT;PA_SCS;IC_Low_SCS;IC_High_SCS;PA_PL;IC_Low_PL;IC_High_PL;PA_LIV;IC_Low_LIV;IC_High_LIV;PA_DPR;IC_Low_DPR;IC_High_DPR;PA_CCR;IC_Low_CCR;IC_High_CCR;PA_HCR;IC_Low_HCR;IC_High_HCR;PA_EFC;IC_Low_EFC;IC_High_EFC;PA_HLIV;IC_Low_HLIV;IC_High_HLIV;PA_UDC;IC_Low_UDC;IC_High_UDC;PA_FLC;IC_Low_FLC;IC_High_FLC;PA_BWC;IC_Low_BWC;IC_High_BWC
37;007HO17686;Commander;3457;1141;HOBRAC6735A204245;25;1091;2172;-131;505;410;100;720;2814;3.98;-95;100.0;99.8;95.4;0.0;67.8;76.2;;A2A2xA2A2=100%A2A2;AAxAB;3;1185.8;-575.6;2947.3;38.4;-28.9;105.7;30.5;-17.5;78.5;3.1;2.8;3.4;0.9;-1.9;3.7;-0.4;-2.4;1.7;-1.2;-3.4;1.0;0.2;-2.3;2.8;-0.1;-2.5;2.4;0.6;-7.9;9.1;0.2;-1.1;1.6;-0.3;-1.6;1.0;-0.2;-1.3;1.0;-1.0;-2.6;0.6
38;007HO17593;Betzold;3422;1043;HOBRAC6735A204239;19;1112;2071;-272;386;290;-20;600;2746;3.98;-95;100.0;98.0;82.3;0.0;71.4;76.1;;A2A2xA2A2=100%A2A2;BBxBB=100%BB;5;1434.8;-326.6;3196.3;18.9;-48.4;86.2;27.5;-20.5;75.5;3.0;2.7;3.3;0.6;-2.3;3.4;-0.6;-2.7;1.5;-1.0;-3.2;1.2;0.9;-1.7;3.5;0.3;-2.1;2.7;1.4;-7.1;10.0;-0.5;-1.9;0.9;-0.5;-1.8;0.8;-0.4;-1.6;0.8;-0.5;-2.1;1.2
39;007HO17220;Rosemary;3323;879;HOBRAC6735A204243;23;1102;2610;269;574;479;169;789;2966;3.98;-95;100.0;99.9;98.3;0.0;81.7;76.1;;xA1A2;xBB;0;366.8;-1394.6;2128.3;47.9;-19.4;115.2;19.0;-29.0;67.0;2.9;2.6;3.2;2.3;-0.6;5.1;2.8;0.7;4.8;0.2;-2.0;2.4;2.2;-0.4;4.8;1.7;-0.7;4.1;1.1;-7.5;9.6;0.8;-0.6;2.2;0.4;-0.9;1.7;-0.2;-1.3;1.0;-0.2;-1.9;1.4
40;007HO17697;POwered;3337;1026;HOBRAC6735A204261;41;1121;2552;256;641;546;236;856;2944;3.98;-95;100.0;100.0;99.4;0.0;77.3;76.0;;xA2A2;xBB;0;558.3;-1203.1;2319.8;69.9;2.6;137.2;27.0;-21.0;75.0;2.9;2.6;3.2;1.4;-1.5;4.2;1.5;-0.6;3.5;-1.1;-3.2;1.1;1.1;-1.5;3.7;1.4;-1.1;3.8;2.6;-5.9;11.2;-0.1;-1.4;1.3;-0.8;-2.1;0.5;-0.8;-1.9;0.4;0.1;-1.6;1.7
41;007HO17593;Betzold;3422;1043;HOBRAC6735A204229;9;1194;2216;-231;406;311;1;621;2819;3.98;-95;100.0;98.6;85.4;0.0;75.0;76.0;;A2A2xA2A2=100%A2A2;BBxAB=50%BB;4;702.8;-1058.6;2464.3;27.4;-39.9;94.7;26.5;-21.5;74.5;2.9;2.6;3.2;0.6;-2.3;3.4;0.2;-1.9;2.3;-0.5;-2.7;1.7;1.6;-0.9;4.2;3.2;0.7;5.6;3.5;-5.0;12.1;-0.3;-1.7;1.0;-0.7;-2.0;0.6;-0.3;-1.5;0.9;-0.4;-2.0;1.2
42;007HO17220;Rosemary;3323;879;HOBRAC6735A204234;14;1186;2704;353;616;521;211;831;3014;3.98;-95;100.0;100.0;99.1;0.0;74.4;75.8;;xA2A2;xAB;0;911.8;-849.6;2673.3;45.4;-21.9;112.7;40.0;-8.0;88.0;2.9;2.6;3.2;2.0;-0.8;4.8;1.1;-0.9;3.2;-1.0;-3.1;1.2;1.0;-1.6;3.5;1.4;-1.0;3.8;1.8;-6.8;10.3;0.6;-0.8;1.9;-0.0;-1.3;1.3;-0.3;-1.4;0.9;-0.7;-2.3;1.0
43;007HO17697;POwered;3337;1026;HOBRAC6735A204234;14;1186;2704;353;690;594;284;904;3020;3.98;-95;100.0;100.0;99.8;0.0;74.2;75.8;;xA2A2;xAB;0;1158.8;-602.6;2920.3;52.4;-14.9;119.7;41.5;-6.5;89.5;2.9;2.6;3.2;2.1;-0.7;4.9;0.6;-1.5;2.6;-1.3;-3.5;0.9;0.8;-1.8;3.3;0.8;-1.6;3.3;2.8;-5.7;11.4;0.2;-1.2;1.6;-0.3;-1.6;1.0;-0.4;-1.6;0.7;-0.8;-2.4;0.8
44;007HO17686;Commander;3457;1141;HOBRAC6735A204229;9;1194;2216;-231;455;360;50;670;2836;3.98;-95;100.0;99.4;91.4;0.0;73.7;75.7;;A2A2xA2A2=100%A2A2;AAxAB;3;638.8;-1122.6;2400.3;43.4;-23.9;110.7;32.0;-16.0;80.0;3.0;2.8;3.3;0.4;-2.5;3.2;-0.9;-2.9;1.2;-1.0;-3.1;1.2;1.1;-1.5;3.7;2.6;0.2;5.1;2.4;-6.1;10.9;0.0;-1.3;1.4;-0.8;-2.1;0.5;-0.3;-1.5;0.9;-0.6;-2.2;1.0
45;007HO17593;Betzold;3422;1043;HOBRAC6735A204227;7;1103;2200;-121;461;366;56;676;2811;3.98;-95;100.0;99.4;92.0;0.0;62.5;75.6;;A2A2xA2A2=100%A2A2;BBxAB=50%BB;4;481.8;-1279.6;2243.3;46.4;-20.9;113.7;23.5;-24.5;71.5;2.9;2.6;3.2;0.1;-2.8;2.9;0.9;-1.1;3.0;-1.5;-3.7;0.7;0.4;-2.2;2.9;0.2;-2.2;2.6;0.8;-7.7;9.4;-0.3;-1.7;1.1;-0.6;-1.9;0.7;-0.4;-1.6;0.7;-0.2;-1.8;1.4
46;007HO17697;POwered;3337;1026;HOBRAC6735A204242;22;1200;2606;223;624;529;219;839;2972;3.98;-95;100.0;100.0;99.3;0.0;73.6;75.5;;xA2A2;xBB;0;893.8;-867.6;2655.3;44.9;-22.4;112.2;25.0;-23.0;73.0;2.8;2.5;3.1;2.9;0.1;5.7;1.4;-0.7;3.5;-1.0;-3.2;1.2;0.8;-1.8;3.4;0.2;-2.2;2.7;3.2;-5.3;11.8;0.2;-1.1;1.6;0.1;-1.2;1.4;0.2;-1.0;1.4;-0.6;-2.2;1.0
47;007HO17697;POwered;3337;1026;HOBRAC6735A204225;5;1086;2488;134;580;485;175;795;2912;3.98;-95;100.0;99.9;98.4;0.0;76.5;75.3;;xA2A2;xAA;0;764.3;-997.1;2525.8;45.4;-21.9;112.7;26.5;-21.5;74.5;2.9;2.6;3.2;2.4;-0.5;5.2;0.9;-1.1;3.0;-0.8;-3.0;1.4;1.5;-1.0;4.1;0.8;-1.6;3.3;1.7;-6.8;10.2;0.0;-1.3;1.4;-0.1;-1.4;1.2;-0.9;-2.0;0.3;-0.7;-2.3;1.0
48;007HO17686;Commander;3457;1141;HOBRAC6735A204227;7;1103;2200;-121;510;415;105;725;2828;3.98;-95;100.0;99.8;95.7;0.0;60.6;75.3;;A2A2xA2A2=100%A2A2;AAxAB;3;417.8;-1343.6;2179.3;62.4;-4.9;129.7;29.0;-19.0;77.0;3.1;2.8;3.3;-0.1;-3.0;2.7;-0.1;-2.2;2.0;-2.0;-4.1;0.2;-0.2;-2.8;2.4;-0.3;-2.7;2.1;-0.3;-8.8;8.2;0.1;-1.3;1.5;-0.7;-2.0;0.6;-0.4;-1.6;0.7;-0.4;-2.1;1.2
49;007HO17686;Commander;3457;1141;HOBRAC6735A204265;45;1123;2232;-168;486;391;81;701;2844;3.98;-95;100.0;99.7;94.1;0.0;64.1;75.2;;A2A2xA2A2=100%A2A2;AAxAA;3;1214.3;-547.1;2975.8;43.4;-23.9;110.7;34.0;-14.0;82.0;3.1;2.9;3.4;0.4;-2.5;3.2;-0.6;-2.7;1.5;-1.7;-3.9;0.5;0.2;-2.4;2.7;0.0;-2.4;2.4;1.1;-7.5;9.6;0.2;-1.2;1.6;-0.2;-1.5;1.1;-0.1;-1.2;1.1;-1.2;-2.9;0.4
50;007HO17220;Rosemary;3323;879;HOBRAC6735A204261;41;1121;2552;256;568;472;162;782;2938;3.98;-95;100.0;99.9;98.1;0.0;77.5;75.2;;xA2A2;xBB;0;311.3;-1450.1;2072.8;62.9;-4.4;130.2;25.5;-22.5;73.5;2.9;2.6;3.2;1.3;-1.6;4.1;2.0;-0.0;4.1;-0.7;-2.9;1.5;1.3;-1.3;3.9;1.9;-0.5;4.3;1.6;-7.0;10.1;0.3;-1.1;1.7;-0.4;-1.7;0.9;-0.6;-1.7;0.6;0.2;-1.4;1.8
51;007HO17686;Commander;3457;1141;HOBRAC6735A204239;19;1112;2071;-272;434;339;29;649;2764;3.98;-95;100.0;99.1;89.2;0.0;64.7;75.1;;A2A2xA2A2=100%A2A2;AAxBB=100%AB;4;1370.8;-390.6;3132.3;34.9;-32.4;102.2;33.0;-15.0;81.0;3.1;2.8;3.4;0.4;-2.5;3.2;-1.7;-3.7;0.4;-1.5;-3.6;0.7;0.3;-2.2;2.9;-0.2;-2.6;2.2;0.3;-8.2;8.8;-0.1;-1.5;1.3;-0.6;-1.9;0.7;-0.4;-1.6;0.8;-0.7;-2.3;1.0
52;007HO17220;Rosemary;3323;879;HOBRAC6735A204240;20;1104;2560;215;547;452;142;762;2942;3.98;-95;100.0;99.9;97.4;0.0;79.8;75.0;;xA2A2;xAB;0;686.8;-1074.6;2448.3;53.4;-13.9;120.7;25.0;-23.0;73.0;3.0;2.7;3.3;1.3;-1.5;4.1;2.5;0.4;4.5;-0.4;-2.6;1.8;1.8;-0.8;4.3;0.8;-1.6;3.2;1.1;-7.4;9.6;0.8;-0.6;2.1;0.0;-1.3;1.3;-0.1;-1.3;1.0;-0.1;-1.7;1.6
53;007HO17686;Commander;3457;1141;HOBRAC6735A204244;24;1081;2195;-161;490;395;85;705;2826;3.98;-95;100.0;99.7;94.4;0.0;61.6;74.9;;A2A2xA2A2=100%A2A2;AAxNoCall;3;927.8;-833.6;2689.3;48.4;-18.9;115.7;33.0;-15.0;81.0;3.1;2.8;3.4;0.2;-2.6;3.0;-1.4;-3.5;0.7;-1.9;-4.1;0.3;-0.3;-2.9;2.3;-0.4;-2.8;2.0;1.1;-7.4;9.7;0.5;-0.9;1.8;-0.6;-1.9;0.7;-0.1;-1.3;1.0;-0.4;-2.0;1.3
54;007HO17697;POwered;3337;1026;HOBRAC6735A204221;1;1087;2494;93;560;464;154;774;2916;3.98;-95;100.0;99.9;97.9;0.0;76.8;74.8;;xA1A2;xAB;0;1269.8;-491.6;3031.3;45.4;-21.9;112.7;31.0;-17.0;79.0;3.0;2.7;3.3;2.1;-0.7;4.9;0.7;-1.4;2.7;-0.7;-2.9;1.5;1.1;-1.5;3.6;-0.1;-2.5;2.3;2.5;-6.0;11.1;-0.1;-1.4;1.3;-0.2;-1.5;1.1;-0.4;-1.5;0.8;-0.2;-1.8;1.5
55;007HO17593;Betzold;3422;1043;HOBRAC6735A204232;12;1089;2056;-286;378;283;-27;593;2739;3.98;-95;99.9;97.8;81.1;0.0;72.8;74.6;;A2A2xA2A2=100%A2A2;BBxAB=50%BB;4;1020.3;-741.1;2781.8;20.9;-46.4;88.2;23.0;-25.0;71.0;2.9;2.6;3.2;0.7;-2.1;3.5;0.6;-1.5;2.7;-0.7;-2.9;1.5;1.2;-1.3;3.8;0.9;-1.6;3.3;2.0;-6.5;10.5;-0.3;-1.7;1.0;-0.8;-2.1;0.5;-0.3;-1.5;0.9;-0.4;-2.1;1.2
56;007HO17220;Rosemary;3323;879;HOBRAC6735A204260;40;1118;2444;196;538;442;132;752;2884;3.98;-95;100.0;99.9;97.0;0.0;79.7;74.6;;xA2A2;xBB;0;156.3;-1605.1;1917.8;46.9;-20.4;114.2;23.5;-24.5;71.5;2.9;2.6;3.2;1.7;-1.2;4.5;2.3;0.2;4.4;0.1;-2.1;2.3;1.9;-0.6;4.5;1.5;-1.0;3.9;1.6;-6.9;10.1;0.5;-0.9;1.9;-0.6;-1.9;0.7;-0.6;-1.8;0.5;-0.4;-2.0;1.3
57;007HO17537;Shimmy;3247;815;HOBRAC6735A204234;14;1186;2704;353;584;489;179;799;2976;3.98;-95;100.0;100.0;98.5;0.0;68.6;74.4;;xA2A2;xAB;0;991.8;-769.6;2753.3;36.9;-30.4;104.2;41.0;-7.0;89.0;3.0;2.7;3.3;1.4;-1.4;4.2;0.0;-2.1;2.1;-1.4;-3.6;0.8;0.1;-2.4;2.7;1.8;-0.6;4.2;3.5;-5.1;12.0;0.2;-1.2;1.5;-0.0;-1.3;1.3;-0.0;-1.2;1.1;-0.9;-2.5;0.7
58;007HO17686;Commander;3457;1141;HOBRAC6735A204232;12;1089;2056;-286;428;332;22;642;2756;3.98;-95;100.0;99.0;88.3;0.0;71.6;74.4;;A2A2xA2A2=100%A2A2;AAxAB;3;956.3;-805.1;2717.8;36.9;-30.4;104.2;28.5;-19.5;76.5;3.0;2.7;3.3;0.5;-2.3;3.3;-0.5;-2.5;1.6;-1.2;-3.3;1.0;0.7;-1.9;3.3;0.3;-2.1;2.8;0.8;-7.7;9.4;0.0;-1.3;1.4;-0.9;-2.2;0.4;-0.3;-1.5;0.9;-0.6;-2.3;1.0
59;007HO17537;Shimmy;3247;815;HOBRAC6735A204243;23;1102;2610;269;542;447;137;757;2928;3.98;-95;100.0;99.9;97.2;0.0;76.2;74.3;;xA1A2;xBB;0;446.8;-1314.6;2208.3;39.4;-27.9;106.7;20.0;-28.0;68.0;3.0;2.7;3.2;1.7;-1.2;4.5;1.6;-0.5;3.7;-0.3;-2.4;1.9;1.4;-1.2;4.0;2.1;-0.3;4.5;2.8;-5.8;11.3;0.4;-1.0;1.8;0.4;-0.9;1.7;0.1;-1.1;1.2;-0.5;-2.1;1.2
60;007HO17220;Rosemary;3323;879;HOBRAC6735A204242;22;1200;2606;223;551;456;146;766;2964;3.98;-95;100.0;99.9;97.6;0.0;73.7;74.3;;xA2A2;xBB;0;646.8;-1114.6;2408.3;37.9;-29.4;105.2;23.5;-24.5;71.5;2.8;2.5;3.1;2.8;-0.0;5.6;2.0;-0.1;4.1;-0.7;-2.8;1.5;1.0;-1.6;3.6;0.8;-1.6;3.2;2.2;-6.4;10.7;0.6;-0.8;2.0;0.4;-0.9;1.7;0.4;-0.8;1.5;-0.5;-2.1;1.2
61;007HO17593;Betzold;3422;1043;HOBRAC6735A204238;18;1110;2290;-147;448;353;43;663;2856;3.98;-95;100.0;99.3;90.7;0.0;71.4;73.7;;A2A2xA1A2=50%A2A2;BBxAB=50%BB;2;1498.8;-262.6;3260.3;26.4;-40.9;93.7;33.0;-15.0;81.0;3.0;2.7;3.3;0.9;-1.9;3.7;-0.4;-2.5;1.6;-1.2;-3.3;1.0;0.7;-1.9;3.2;0.8;-1.7;3.2;3.4;-5.1;11.9;0.0;-1.4;1.4;-0.1;-1.3;1.2;-0.3;-1.5;0.8;-0.3;-1.9;1.4
62;007HO17593;Betzold;3422;1043;HOBRAC6735A204244;24;1081;2195;-161;441;346;36;656;2808;3.98;-95;100.0;99.2;89.9;0.0;63.5;73.7;;A2A2xA2A2=100%A2A2;BBxNoCall;3;991.8;-769.6;2753.3;32.4;-34.9;99.7;27.5;-20.5;75.5;3.0;2.7;3.3;0.4;-2.4;3.2;-0.3;-2.4;1.7;-1.5;-3.6;0.7;0.2;-2.3;2.8;0.1;-2.3;2.5;2.3;-6.2;10.8;0.1;-1.3;1.4;-0.5;-1.8;0.8;-0.1;-1.3;1.0;-0.2;-1.8;1.5
63;007HO17697;POwered;3337;1026;HOBRAC6735A204241;21;1109;2451;-48;489;394;84;704;2894;3.98;-95;100.0;99.7;94.3;0.0;82.5;73.7;;xA2A2;xAB;0;1244.8;-516.6;3006.3;28.9;-38.4;96.2;26.0;-22.0;74.0;3.0;2.7;3.3;2.0;-0.8;4.8;1.2;-0.9;3.3;0.4;-1.7;2.6;2.2;-0.3;4.8;0.8;-1.6;3.3;3.3;-5.2;11.8;0.5;-0.9;1.9;-0.1;-1.4;1.2;-0.1;-1.2;1.1;-0.3;-1.9;1.4
64;522HO04563;Hendricks;3062;488;HOBRAC6735A204234;14;1186;2704;353;420;325;15;635;2883;3.98;-95;100.0;98.9;87.4;0.0;64.2;73.5;;A2A2xA2A2=100%A2A2;ABxAB;3;1073.3;-688.1;2834.8;22.9;-44.4;90.2;39.0;-9.0;87.0;2.9;2.6;3.2;1.3;-1.6;4.1;-0.8;-2.9;1.3;-1.9;-4.0;0.3;-0.1;-2.7;2.4;0.1;-2.3;2.5;2.6;-5.9;11.1;0.1;-1.3;1.5;0.3;-1.0;1.6;-0.4;-1.5;0.8;-0.5;-2.2;1.1
65;007HO17537;Shimmy;3247;815;HOBRAC6735A204261;41;1121;2552;256;536;440;130;750;2900;3.98;-95;100.0;99.9;97.0;0.0;72.0;73.4;;xA2A2;xBB;0;391.3;-1370.1;2152.8;54.4;-12.9;121.7;26.5;-21.5;74.5;3.0;2.7;3.3;0.7;-2.2;3.5;0.9;-1.2;3.0;-1.2;-3.3;1.0;0.5;-2.1;3.1;2.3;-0.1;4.7;3.2;-5.3;11.8;-0.1;-1.5;1.3;-0.4;-1.7;0.9;-0.3;-1.5;0.8;-0.0;-1.7;1.6
66;522HO04563;Hendricks;3062;488;HOBRAC6735A204242;22;1200;2606;223;356;260;-50;570;2834;3.98;-95;99.9;96.9;76.9;0.0;67.4;73.3;;A2A2xA2A2=100%A2A2;ABxBB=50%BB;4;808.3;-953.1;2569.8;15.4;-51.9;82.7;22.5;-25.5;70.5;2.8;2.5;3.1;2.1;-0.8;4.9;0.1;-2.0;2.1;-1.6;-3.7;0.6;-0.1;-2.7;2.5;-0.5;-2.9;1.9;3.0;-5.5;11.5;0.2;-1.2;1.5;0.7;-0.6;2.0;0.2;-0.9;1.4;-0.3;-2.0;1.3
67;007HO17220;Rosemary;3323;879;HOBRAC6735A204225;5;1086;2488;134;506;411;101;721;2906;3.98;-95;100.0;99.8;95.5;0.0;76.7;73.3;;xA2A2;xAA;0;517.3;-1244.1;2278.8;38.4;-28.9;105.7;25.0;-23.0;73.0;2.9;2.6;3.2;2.3;-0.6;5.1;1.6;-0.5;3.6;-0.5;-2.6;1.7;1.8;-0.8;4.3;1.4;-1.0;3.8;0.6;-7.9;9.1;0.4;-1.0;1.8;0.3;-1.0;1.6;-0.7;-1.8;0.5;-0.5;-2.1;1.1
68;007HO17697;POwered;3337;1026;HOBRAC6735A204246;26;1083;2256;52;539;444;134;754;2796;3.98;-95;100.0;99.9;97.1;0.0;72.3;73.2;;xA2A2;xAB;0;594.3;-1167.1;2355.8;39.9;-27.4;107.2;20.5;-27.5;68.5;3.0;2.7;3.3;1.2;-1.6;4.0;0.6;-1.5;2.7;-1.1;-3.3;1.1;1.1;-1.5;3.6;0.4;-2.0;2.8;2.2;-6.3;10.8;0.4;-0.9;1.8;-0.6;-1.9;0.7;-0.5;-1.7;0.6;-1.0;-2.6;0.6
69;007HO17537;Shimmy;3247;815;HOBRAC6735A204240;20;1104;2560;215;515;420;110;730;2904;3.98;-95;100.0;99.8;95.9;0.0;74.2;73.2;;xA2A2;xAB;0;766.8;-994.6;2528.3;44.9;-22.4;112.2;26.0;-22.0;74.0;3.1;2.8;3.4;0.7;-2.1;3.5;1.3;-0.8;3.4;-0.9;-3.0;1.3;0.9;-1.6;3.5;1.2;-1.2;3.6;2.8;-5.7;11.3;0.3;-1.0;1.7;0.0;-1.3;1.3;0.1;-1.1;1.3;-0.3;-1.9;1.3
70;522HO04563;Hendricks;3062;488;HOBRAC6735A204261;41;1121;2552;256;372;277;-33;587;2807;3.98;-95;99.9;97.6;80.0;0.0;63.1;73.1;;A2A2xA2A2=100%A2A2;ABxBB=50%BB;4;472.8;-1288.6;2234.3;40.4;-26.9;107.7;24.5;-23.5;72.5;2.9;2.6;3.2;0.5;-2.3;3.3;0.1;-2.0;2.2;-1.6;-3.8;0.6;0.2;-2.4;2.8;0.6;-1.8;3.0;2.4;-6.1;10.9;-0.2;-1.5;1.2;-0.1;-1.4;1.2;-0.7;-1.9;0.5;0.3;-1.3;2.0
71;522HO04563;Hendricks;3062;488;HOBRAC6735A204260;40;1118;2444;196;342;247;-63;557;2753;3.98;-95;99.9;96.3;74.2;0.0;69.5;73.0;;A2A2xA2A2=100%A2A2;ABxBB=50%BB;4;317.8;-1443.6;2079.3;24.4;-42.9;91.7;22.5;-25.5;70.5;2.9;2.6;3.2;0.9;-1.9;3.7;0.4;-1.7;2.4;-0.8;-3.0;1.4;0.8;-1.7;3.4;0.2;-2.3;2.6;2.5;-6.1;11.0;0.1;-1.3;1.4;-0.3;-1.6;1.0;-0.8;-1.9;0.4;-0.2;-1.9;1.4
72;007HO17686;Commander;3457;1141;HOBRAC6735A204249;29;1108;2030;-374;384;288;-22;598;2744;3.98;-95;100.0;98.0;81.9;0.0;71.0;73.0;;A2A2xA2A2=100%A2A2;AAxAA;3;599.3;-1162.1;2360.8;26.4;-40.9;93.7;20.0;-28.0;68.0;3.1;2.8;3.4;1.1;-1.7;3.9;0.7;-1.4;2.8;-0.9;-3.0;1.3;1.0;-1.6;3.6;0.0;-2.4;2.4;-1.3;-9.8;7.2;0.2;-1.1;1.6;-0.3;-1.6;1.0;0.1;-1.1;1.2;-0.8;-2.4;0.9
73;007HO17686;Commander;3457;1141;HOBRAC6735A204238;18;1110;2290;-147;497;402;92;712;2874;3.98;-95;100.0;99.7;94.9;0.0;66.4;72.9;;A2A2xA1A2=50%A2A2;AAxAB;1;1434.8;-326.6;3196.3;42.4;-24.9;109.7;38.5;-9.5;86.5;3.1;2.8;3.4;0.7;-2.1;3.5;-1.5;-3.6;0.6;-1.6;-3.8;0.6;0.1;-2.5;2.7;0.2;-2.2;2.7;2.2;-6.3;10.8;0.4;-1.0;1.8;-0.1;-1.4;1.2;-0.3;-1.5;0.8;-0.5;-2.1;1.1
74;007HO17593;Betzold;3422;1043;HOBRAC6735A204249;29;1108;2030;-374;334;239;-71;549;2726;3.98;-95;99.9;95.9;72.7;0.0;70.8;72.9;;A2A2xA2A2=100%A2A2;BBxAA=100%AB;4;663.3;-1098.1;2424.8;10.4;-56.9;77.7;14.5;-33.5;62.5;3.0;2.7;3.3;1.3;-1.5;4.1;1.8;-0.3;3.8;-0.4;-2.6;1.8;1.6;-1.0;4.1;0.5;-1.9;2.9;-0.1;-8.7;8.4;-0.1;-1.5;1.2;-0.2;-1.5;1.1;0.1;-1.1;1.2;-0.5;-2.2;1.1
75;007HO17686;Commander;3457;1141;HOBRAC6735A204251;31;1088;1983;-273;434;339;29;649;2720;3.98;-95;100.0;99.1;89.1;0.0;60.4;72.8;;A2A2xA2A2=100%A2A2;AAxNoCall;3;767.8;-993.6;2529.3;40.4;-26.9;107.7;27.5;-20.5;75.5;3.1;2.8;3.4;-0.2;-3.1;2.6;-0.9;-2.9;1.2;-1.6;-3.7;0.6;0.2;-2.4;2.8;0.5;-1.9;2.9;-0.1;-8.7;8.4;0.0;-1.3;1.4;-0.9;-2.2;0.4;-0.6;-1.8;0.5;-1.2;-2.9;0.4
